Day of adulthood,Status,Treatment
4,1,EV
4,1,EV
5,1,EV
5,1,EV
5,1,EV
5,1,EV
5,1,EV
7,1,EV
7,1,EV
7,1,EV
7,1,EV
7,1,EV
8,1,EV
8,1,EV
8,1,EV
8,1,EV
8,1,EV
8,1,EV
8,1,EV
8,1,EV
8,1,EV
9,1,EV
9,1,EV
9,1,EV
9,1,EV
9,1,EV
9,1,EV
9,1,EV
9,1,EV
9,1,EV
9,1,EV
9,1,EV
9,1,EV
9,1,EV
9,1,EV
9,1,EV
9,1,EV
9,1,EV
9,1,EV
9,1,EV
9,1,EV
10,1,EV
10,1,EV
10,1,EV
10,1,EV
10,1,EV
10,1,EV
10,1,EV
10,1,EV
10,1,EV
11,1,EV
11,1,EV
11,1,EV
11,1,EV
11,1,EV
11,1,EV
11,1,EV
12,1,EV
12,1,EV
12,1,EV
12,1,EV
12,1,EV
12,1,EV
12,1,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
12,0,EV
3,1,anc-1
3,1,anc-1
3,1,anc-1
3,1,anc-1
3,1,anc-1
4,1,anc-1
4,1,anc-1
4,1,anc-1
4,1,anc-1
4,1,anc-1
4,1,anc-1
4,1,anc-1
4,1,anc-1
5,1,anc-1
5,1,anc-1
5,1,anc-1
5,1,anc-1
5,1,anc-1
5,1,anc-1
5,1,anc-1
5,1,anc-1
5,1,anc-1
5,1,anc-1
7,1,anc-1
7,1,anc-1
7,1,anc-1
7,1,anc-1
7,1,anc-1
7,1,anc-1
7,1,anc-1
7,1,anc-1
7,1,anc-1
7,1,anc-1
8,1,anc-1
8,1,anc-1
8,1,anc-1
8,1,anc-1
8,1,anc-1
8,1,anc-1
8,1,anc-1
8,1,anc-1
8,1,anc-1
8,1,anc-1
8,1,anc-1
8,1,anc-1
8,1,anc-1
8,1,anc-1
9,1,anc-1
9,1,anc-1
9,1,anc-1
9,1,anc-1
9,1,anc-1
9,1,anc-1
9,1,anc-1
9,1,anc-1
9,1,anc-1
9,1,anc-1
9,1,anc-1
9,1,anc-1
9,1,anc-1
9,1,anc-1
9,1,anc-1
9,1,anc-1
9,1,anc-1
10,1,anc-1
10,1,anc-1
10,1,anc-1
10,1,anc-1
10,1,anc-1
10,1,anc-1
10,1,anc-1
10,1,anc-1
10,1,anc-1
10,1,anc-1
10,1,anc-1
10,1,anc-1
10,1,anc-1
10,1,anc-1
11,1,anc-1
12,1,anc-1
12,1,anc-1
12,1,anc-1
12,1,anc-1
12,1,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
12,0,anc-1
4,1,tbx-11
4,1,tbx-11
4,1,tbx-11
5,1,tbx-11
5,1,tbx-11
5,1,tbx-11
7,1,tbx-11
7,1,tbx-11
7,1,tbx-11
7,1,tbx-11
7,1,tbx-11
7,1,tbx-11
7,1,tbx-11
7,1,tbx-11
8,1,tbx-11
8,1,tbx-11
8,1,tbx-11
8,1,tbx-11
8,1,tbx-11
8,1,tbx-11
8,1,tbx-11
8,1,tbx-11
8,1,tbx-11
9,1,tbx-11
9,1,tbx-11
9,1,tbx-11
9,1,tbx-11
9,1,tbx-11
9,1,tbx-11
9,1,tbx-11
9,1,tbx-11
9,1,tbx-11
9,1,tbx-11
9,1,tbx-11
9,1,tbx-11
9,1,tbx-11
9,1,tbx-11
9,1,tbx-11
9,1,tbx-11
9,1,tbx-11
10,1,tbx-11
10,1,tbx-11
10,1,tbx-11
10,1,tbx-11
10,1,tbx-11
10,1,tbx-11
10,1,tbx-11
10,1,tbx-11
10,1,tbx-11
10,1,tbx-11
10,1,tbx-11
10,1,tbx-11
11,1,tbx-11
11,1,tbx-11
11,1,tbx-11
11,1,tbx-11
11,1,tbx-11
11,1,tbx-11
12,1,tbx-11
12,1,tbx-11
12,1,tbx-11
12,1,tbx-11
12,1,tbx-11
12,1,tbx-11
12,1,tbx-11
12,1,tbx-11
12,1,tbx-11
12,1,tbx-11
12,1,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
12,0,tbx-11
4,1,tbx-37/-38
4,1,tbx-37/-38
5,1,tbx-37/-38
5,1,tbx-37/-38
5,1,tbx-37/-38
7,1,tbx-37/-38
7,1,tbx-37/-38
7,1,tbx-37/-38
7,1,tbx-37/-38
7,1,tbx-37/-38
7,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
4,1,tbx-39/-40
5,1,tbx-39/-40
5,1,tbx-39/-40
5,1,tbx-39/-40
5,1,tbx-39/-40
7,1,tbx-39/-40
7,1,tbx-39/-40
7,1,tbx-39/-40
7,1,tbx-39/-40
7,1,tbx-39/-40
7,1,tbx-39/-40
8,1,tbx-39/-40
8,1,tbx-39/-40
8,1,tbx-39/-40
8,1,tbx-39/-40
8,1,tbx-39/-40
8,1,tbx-39/-40
8,1,tbx-39/-40
8,1,tbx-39/-40
8,1,tbx-39/-40
8,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
11,1,tbx-39/-40
11,1,tbx-39/-40
11,1,tbx-39/-40
11,1,tbx-39/-40
11,1,tbx-39/-40
11,1,tbx-39/-40
11,1,tbx-39/-40
11,1,tbx-39/-40
11,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
4,1,cul-6
4,1,cul-6
5,1,cul-6
5,1,cul-6
5,1,cul-6
7,1,cul-6
7,1,cul-6
7,1,cul-6
7,1,cul-6
7,1,cul-6
7,1,cul-6
8,1,cul-6
8,1,cul-6
8,1,cul-6
8,1,cul-6
8,1,cul-6
8,1,cul-6
8,1,cul-6
8,1,cul-6
9,1,cul-6
9,1,cul-6
9,1,cul-6
9,1,cul-6
9,1,cul-6
9,1,cul-6
9,1,cul-6
9,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
11,1,cul-6
11,1,cul-6
11,1,cul-6
11,1,cul-6
11,1,cul-6
11,1,cul-6
11,1,cul-6
11,1,cul-6
11,1,cul-6
11,1,cul-6
11,1,cul-6
12,1,cul-6
12,1,cul-6
12,1,cul-6
12,1,cul-6
12,1,cul-6
12,1,cul-6
12,1,cul-6
12,1,cul-6
12,1,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
10,1,cul-1 E3
10,1,cul-1 E3
10,1,cul-1 E3
10,1,cul-1 E3
10,1,cul-1 E3
10,1,cul-1 E3
10,1,cul-1 E3
10,1,cul-1 E3
11,1,cul-1 E3
11,1,cul-1 E3
11,1,cul-1 E3
12,1,cul-1 E3
12,0,cul-1 E3
12,0,cul-1 E3
12,0,cul-1 E3
12,0,cul-1 E3
12,0,cul-1 E3
12,0,cul-1 E3
12,0,cul-1 E3
12,0,cul-1 E3
12,0,cul-1 E3
12,0,cul-1 E3
